Time,src_ip,dst_ip,protocol,packet_length,info,protocol_code,anomaly,score,Threat_Type
2026-02-03 12:18:38.180830,142.250.201.3,192.168.1.4,QUIC,1011,"Packet (Length: 1011)",4,-1,-0.020305077868885912,Suspicious Scanning/Probe
2026-02-03 12:18:56.626317,95.100.86.213,192.168.1.4,QUIC,1498,"Packet (Length: 1498)",4,-1,-0.01590549912262129,Suspicious Scanning/Probe
2026-02-03 12:19:20.690922,172.178.240.163,192.168.1.4,TLS,1466,"Packet (Length: 1466)",7,-1,-0.004915923403130296,Suspicious Scanning/Probe
2026-02-03 12:19:20.998992,172.178.240.163,192.168.1.4,TLS,383,"Packet (Length: 383)",7,-1,-0.009757384055157026,Suspicious Scanning/Probe
2026-02-03 12:19:21.250583,192.168.1.4,172.178.240.163,TLS,1466,"Packet (Length: 1466)",7,-1,-0.004915923403130296,Suspicious Scanning/Probe
2026-02-03 12:19:21.253035,192.168.1.4,172.178.240.163,TLS,1466,"Packet (Length: 1466)",7,-1,-0.004915923403130296,Suspicious Scanning/Probe
2026-02-03 12:19:21.510132,192.168.1.4,172.178.240.163,TLS,1466,"Packet (Length: 1466)",7,-1,-0.004915923403130296,Suspicious Scanning/Probe
2026-02-03 12:19:21.819848,192.168.1.4,172.178.240.163,TLS,1466,"Packet (Length: 1466)",7,-1,-0.004915923403130296,Suspicious Scanning/Probe
2026-02-03 12:19:21.819848,192.168.1.4,172.178.240.163,TLS,601,"Packet (Length: 601)",7,-1,-0.049238927832541024,Suspicious Scanning/Probe
2026-02-03 12:19:22.124386,172.178.240.163,192.168.1.4,TLS,1065,"Packet (Length: 1065)",7,-1,-0.06285305441407774,Suspicious Scanning/Probe
2026-02-03 12:19:23.759526,192.168.1.1,192.168.1.4,DNS,277,"Packet (Length: 277)",2,-1,-0.007772954917541042,Suspicious Scanning/Probe
2026-02-03 12:19:23.768020,192.168.1.1,192.168.1.4,DNS,263,"Packet (Length: 263)",2,-1,-0.003726909312042004,Suspicious Scanning/Probe
2026-02-03 12:19:25.936706,95.100.86.213,192.168.1.4,QUIC,1498,"Packet (Length: 1498)",4,-1,-0.01590549912262129,Suspicious Scanning/Probe
2026-02-03 12:19:40.790888,216.58.215.142,192.168.1.4,QUIC,994,"Packet (Length: 994)",4,-1,-0.018901299927952753,Suspicious Scanning/Probe
2026-02-03 12:19:40.791976,192.168.1.4,216.58.215.142,QUIC,741,"Packet (Length: 741)",4,-1,-0.017403547816773335,Suspicious Scanning/Probe
2026-02-03 12:19:40.928019,216.58.215.142,192.168.1.4,QUIC,704,"Packet (Length: 704)",4,-1,-0.01229177662823877,Suspicious Scanning/Probe
2026-02-03 12:19:41.015981,142.251.208.227,192.168.1.4,QUIC,1014,"Packet (Length: 1014)",4,-1,-0.020773637390926525,Suspicious Scanning/Probe
2026-02-03 12:19:41.601068,142.251.208.227,192.168.1.4,QUIC,709,"Packet (Length: 709)",4,-1,-0.011366444157767885,Suspicious Scanning/Probe
2026-02-03 12:20:50.699970,135.234.160.244,192.168.1.4,TLS,1466,"Packet (Length: 1466)",7,-1,-0.004915923403130296,Suspicious Scanning/Probe
2026-02-03 12:20:50.905422,135.234.160.244,192.168.1.4,TLS,383,"Packet (Length: 383)",7,-1,-0.009757384055157026,Suspicious Scanning/Probe
2026-02-03 12:20:51.161302,192.168.1.4,135.234.160.244,TLS,1466,"Packet (Length: 1466)",7,-1,-0.004915923403130296,Suspicious Scanning/Probe
2026-02-03 12:20:51.163666,192.168.1.4,135.234.160.244,TLS,1466,"Packet (Length: 1466)",7,-1,-0.004915923403130296,Suspicious Scanning/Probe
2026-02-03 12:20:51.359522,192.168.1.4,135.234.160.244,TLS,1466,"Packet (Length: 1466)",7,-1,-0.004915923403130296,Suspicious Scanning/Probe
2026-02-03 12:20:51.520605,192.168.1.4,135.234.160.244,TLS,1466,"Packet (Length: 1466)",7,-1,-0.004915923403130296,Suspicious Scanning/Probe
2026-02-03 12:20:51.520605,192.168.1.4,135.234.160.244,TLS,601,"Packet (Length: 601)",7,-1,-0.049238927832541024,Suspicious Scanning/Probe
2026-02-03 12:20:51.711177,135.234.160.244,192.168.1.4,TLS,1065,"Packet (Length: 1065)",7,-1,-0.06285305441407774,Suspicious Scanning/Probe
