Time,src_ip,dst_ip,protocol,packet_length,info
2026-02-03 12:18:30.000277,N/A,N/A,ARP,42,"Packet (Length: 42)"
2026-02-03 12:18:31.023214,N/A,N/A,ARP,42,"Packet (Length: 42)"
2026-02-03 12:18:31.398359,192.168.1.4,95.100.86.213,DATA,71,"Packet (Length: 71)"
2026-02-03 12:18:31.439476,192.168.1.4,142.250.200.130,TLS,55,"Packet (Length: 55)"
2026-02-03 12:18:31.487945,142.250.200.130,192.168.1.4,TCP,66,"Packet (Length: 66)"
2026-02-03 12:18:31.496118,95.100.86.213,192.168.1.4,DATA,70,"Packet (Length: 70)"
2026-02-03 12:18:32.749476,192.168.1.4,150.171.30.11,TLS,55,"Packet (Length: 55)"
2026-02-03 12:18:32.839715,150.171.30.11,192.168.1.4,TCP,66,"Packet (Length: 66)"
2026-02-03 12:18:34.506745,104.18.39.21,192.168.1.4,TLS,78,"Packet (Length: 78)"
2026-02-03 12:18:34.507266,192.168.1.4,104.18.39.21,TLS,82,"Packet (Length: 82)"
2026-02-03 12:18:34.576360,13.107.213.42,192.168.1.4,TLS,93,"Packet (Length: 93)"
2026-02-03 12:18:34.576360,13.107.213.42,192.168.1.4,TLS,78,"Packet (Length: 78)"
2026-02-03 12:18:34.576469,192.168.1.4,13.107.213.42,TCP,54,"Packet (Length: 54)"
2026-02-03 12:18:34.577031,192.168.1.4,13.107.213.42,TCP,54,"Packet (Length: 54)"
2026-02-03 12:18:34.578929,13.107.213.42,192.168.1.4,TCP,54,"Packet (Length: 54)"
2026-02-03 12:18:34.579005,192.168.1.4,13.107.213.42,TCP,54,"Packet (Length: 54)"
2026-02-03 12:18:34.589217,104.18.39.21,192.168.1.4,TCP,56,"Packet (Length: 56)"
2026-02-03 12:18:34.629132,13.107.213.42,192.168.1.4,TCP,60,"Packet (Length: 60)"
2026-02-03 12:18:34.695018,13.107.213.42,192.168.1.4,TLS,93,"Packet (Length: 93)"
2026-02-03 12:18:34.695018,13.107.213.42,192.168.1.4,TLS,78,"Packet (Length: 78)"
2026-02-03 12:18:34.695126,192.168.1.4,13.107.213.42,TCP,54,"Packet (Length: 54)"
2026-02-03 12:18:34.695728,192.168.1.4,13.107.213.42,TCP,54,"Packet (Length: 54)"
2026-02-03 12:18:34.699046,13.107.213.42,192.168.1.4,TCP,54,"Packet (Length: 54)"
2026-02-03 12:18:34.699126,192.168.1.4,13.107.213.42,TCP,54,"Packet (Length: 54)"
2026-02-03 12:18:34.749048,13.107.213.42,192.168.1.4,TCP,60,"Packet (Length: 60)"
2026-02-03 12:18:35.944549,192.168.1.4,216.58.215.164,DATA,71,"Packet (Length: 71)"
2026-02-03 12:18:35.997726,216.58.215.164,192.168.1.4,DATA,67,"Packet (Length: 67)"
2026-02-03 12:18:37.782281,N/A,N/A,ARP,42,"Packet (Length: 42)"
2026-02-03 12:18:37.903149,192.168.1.4,95.100.86.213,DATA,71,"Packet (Length: 71)"
2026-02-03 12:18:37.922882,192.168.1.4,192.168.1.1,DNS,89,"Packet (Length: 89)"
2026-02-03 12:18:37.923566,192.168.1.4,192.168.1.1,DNS,89,"Packet (Length: 89)"
2026-02-03 12:18:38.034214,192.168.1.1,192.168.1.4,DNS,149,"Packet (Length: 149)"
2026-02-03 12:18:38.034605,192.168.1.1,192.168.1.4,DNS,105,"Packet (Length: 105)"
2026-02-03 12:18:38.035419,192.168.1.4,95.100.86.213,DATA,71,"Packet (Length: 71)"
2026-02-03 12:18:38.036714,192.168.1.4,142.250.201.3,QUIC,1292,"Packet (Length: 1292)"
2026-02-03 12:18:38.036819,192.168.1.4,142.250.201.3,QUIC,1292,"Packet (Length: 1292)"
2026-02-03 12:18:38.036896,192.168.1.4,142.250.201.3,QUIC,1292,"Packet (Length: 1292)"
2026-02-03 12:18:38.037432,192.168.1.4,142.250.201.3,QUIC,122,"Packet (Length: 122)"
2026-02-03 12:18:38.037730,192.168.1.4,142.250.201.3,QUIC,445,"Packet (Length: 445)"
2026-02-03 12:18:38.176916,95.100.86.213,192.168.1.4,DATA,70,"Packet (Length: 70)"
2026-02-03 12:18:38.177245,95.100.86.213,192.168.1.4,DATA,71,"Packet (Length: 71)"
2026-02-03 12:18:38.177581,142.250.201.3,192.168.1.4,QUIC,86,"Packet (Length: 86)"
2026-02-03 12:18:38.177581,142.250.201.3,192.168.1.4,QUIC,86,"Packet (Length: 86)"
2026-02-03 12:18:38.179571,142.250.201.3,192.168.1.4,QUIC,1296,"Packet (Length: 1296)"
2026-02-03 12:18:38.179571,142.250.201.3,192.168.1.4,QUIC,1296,"Packet (Length: 1296)"
2026-02-03 12:18:38.179571,142.250.201.3,192.168.1.4,QUIC,1296,"Packet (Length: 1296)"
2026-02-03 12:18:38.179571,142.250.201.3,192.168.1.4,QUIC,331,"Packet (Length: 331)"
2026-02-03 12:18:38.180830,142.250.201.3,192.168.1.4,QUIC,1011,"Packet (Length: 1011)"
2026-02-03 12:18:38.180830,142.250.201.3,192.168.1.4,QUIC,76,"Packet (Length: 76)"
2026-02-03 12:18:38.180830,142.250.201.3,192.168.1.4,QUIC,70,"Packet (Length: 70)"
2026-02-03 12:18:38.180884,192.168.1.4,142.250.201.3,QUIC,120,"Packet (Length: 120)"
2026-02-03 12:18:38.181082,192.168.1.4,142.250.201.3,QUIC,73,"Packet (Length: 73)"
2026-02-03 12:18:38.183658,192.168.1.4,172.217.20.225,TLS,55,"Packet (Length: 55)"
2026-02-03 12:18:38.191162,142.250.201.3,192.168.1.4,QUIC,78,"Packet (Length: 78)"
2026-02-03 12:18:38.191447,142.250.201.3,192.168.1.4,QUIC,67,"Packet (Length: 67)"
2026-02-03 12:18:38.191655,192.168.1.4,142.250.201.3,QUIC,73,"Packet (Length: 73)"
2026-02-03 12:18:38.224920,192.168.1.4,142.250.201.3,QUIC,74,"Packet (Length: 74)"
2026-02-03 12:18:38.320365,142.250.201.3,192.168.1.4,QUIC,166,"Packet (Length: 166)"
2026-02-03 12:18:38.320666,142.250.201.3,192.168.1.4,QUIC,403,"Packet (Length: 403)"
2026-02-03 12:18:38.320838,172.217.20.225,192.168.1.4,TCP,66,"Packet (Length: 66)"
2026-02-03 12:18:38.321027,192.168.1.4,142.250.201.3,QUIC,77,"Packet (Length: 77)"
2026-02-03 12:18:38.404876,142.250.201.3,192.168.1.4,QUIC,69,"Packet (Length: 69)"
2026-02-03 12:18:39.017523,192.168.1.4,13.107.213.42,TLS,55,"Packet (Length: 55)"
2026-02-03 12:18:39.146040,95.100.86.220,192.168.1.4,TLS,82,"Packet (Length: 82)"
2026-02-03 12:18:39.146195,192.168.1.4,95.100.86.220,TCP,54,"Packet (Length: 54)"
2026-02-03 12:18:39.151561,95.100.86.220,192.168.1.4,TCP,58,"Packet (Length: 58)"
2026-02-03 12:18:39.151632,192.168.1.4,95.100.86.220,TCP,54,"Packet (Length: 54)"
2026-02-03 12:18:39.182299,13.107.213.42,192.168.1.4,TCP,54,"Packet (Length: 54)"
2026-02-03 12:18:39.727179,N/A,N/A,ARP,42,"Packet (Length: 42)"
2026-02-03 12:18:40.824487,192.168.1.4,20.190.177.82,TLS,55,"Packet (Length: 55)"
2026-02-03 12:18:40.901820,20.190.177.82,192.168.1.4,TCP,66,"Packet (Length: 66)"
2026-02-03 12:18:41.036086,192.168.1.4,20.190.177.82,TLS,55,"Packet (Length: 55)"
2026-02-03 12:18:41.112314,20.190.177.82,192.168.1.4,TCP,66,"Packet (Length: 66)"
2026-02-03 12:18:41.777130,N/A,N/A,SSDP,188,"Packet (Length: 188)"
2026-02-03 12:18:41.852743,192.168.1.4,64.233.167.188,TLS,80,"Packet (Length: 80)"
2026-02-03 12:18:41.926619,64.233.167.188,192.168.1.4,TLS,84,"Packet (Length: 84)"
2026-02-03 12:18:41.932773,64.233.167.188,192.168.1.4,TCP,60,"Packet (Length: 60)"
2026-02-03 12:18:41.932869,192.168.1.4,64.233.167.188,TCP,54,"Packet (Length: 54)"
2026-02-03 12:18:41.953380,N/A,N/A,SSDP,188,"Packet (Length: 188)"
2026-02-03 12:18:42.289173,N/A,N/A,SSDP,188,"Packet (Length: 188)"
2026-02-03 12:18:42.493794,N/A,N/A,SSDP,188,"Packet (Length: 188)"
2026-02-03 12:18:42.803040,192.168.1.1,239.255.255.250,SSDP,174,"Packet (Length: 174)"
2026-02-03 12:18:43.005949,192.168.1.1,239.255.255.250,SSDP,174,"Packet (Length: 174)"
2026-02-03 12:18:43.312959,N/A,N/A,SSDP,189,"Packet (Length: 189)"
2026-02-03 12:18:43.314445,95.100.86.213,192.168.1.4,DATA,77,"Packet (Length: 77)"
2026-02-03 12:18:43.342145,192.168.1.4,95.100.86.213,DATA,74,"Packet (Length: 74)"
2026-02-03 12:18:43.407003,95.100.86.213,192.168.1.4,DATA,77,"Packet (Length: 77)"
2026-02-03 12:18:43.407482,192.168.1.4,95.100.86.213,DATA,75,"Packet (Length: 75)"
2026-02-03 12:18:43.518775,192.168.1.4,95.100.86.213,DATA,71,"Packet (Length: 71)"
2026-02-03 12:18:43.521973,N/A,N/A,SSDP,189,"Packet (Length: 189)"
2026-02-03 12:18:43.617450,95.100.86.213,192.168.1.4,DATA,70,"Packet (Length: 70)"
2026-02-03 12:18:43.763746,192.168.1.4,142.250.185.6,TLS,55,"Packet (Length: 55)"
2026-02-03 12:18:43.767543,95.100.86.213,192.168.1.4,DATA,70,"Packet (Length: 70)"
2026-02-03 12:18:43.774875,N/A,N/A,SSDP,189,"Packet (Length: 189)"
2026-02-03 12:18:43.798582,192.168.1.4,95.100.86.213,DATA,74,"Packet (Length: 74)"
2026-02-03 12:18:43.823623,142.250.185.6,192.168.1.4,TCP,66,"Packet (Length: 66)"
2026-02-03 12:18:43.832733,192.168.1.4,95.100.86.213,DATA,71,"Packet (Length: 71)"
2026-02-03 12:18:43.930900,95.100.86.213,192.168.1.4,DATA,70,"Packet (Length: 70)"
2026-02-03 12:18:44.132251,N/A,N/A,SSDP,189,"Packet (Length: 189)"
2026-02-03 12:18:44.146346,192.168.1.4,95.100.86.213,DATA,71,"Packet (Length: 71)"
2026-02-03 12:18:44.249063,95.100.86.213,192.168.1.4,DATA,70,"Packet (Length: 70)"
2026-02-03 12:18:44.294872,192.168.1.1,239.255.255.250,SSDP,175,"Packet (Length: 175)"
2026-02-03 12:18:44.452067,192.168.1.4,95.100.86.213,DATA,71,"Packet (Length: 71)"
2026-02-03 12:18:44.550323,95.100.86.213,192.168.1.4,DATA,70,"Packet (Length: 70)"
2026-02-03 12:18:44.555091,192.168.1.1,239.255.255.250,SSDP,175,"Packet (Length: 175)"
2026-02-03 12:18:44.752039,192.168.1.4,95.100.86.213,DATA,71,"Packet (Length: 71)"
2026-02-03 12:18:44.851512,95.100.86.213,192.168.1.4,DATA,70,"Packet (Length: 70)"
2026-02-03 12:18:44.907318,192.168.1.4,40.126.53.17,TLS,55,"Packet (Length: 55)"
2026-02-03 12:18:45.060489,192.168.1.4,95.100.86.213,DATA,71,"Packet (Length: 71)"
2026-02-03 12:18:45.161289,95.100.86.213,192.168.1.4,DATA,70,"Packet (Length: 70)"
2026-02-03 12:18:45.364762,192.168.1.4,95.100.86.213,DATA,71,"Packet (Length: 71)"
2026-02-03 12:18:45.465309,95.100.86.213,192.168.1.4,DATA,70,"Packet (Length: 70)"
2026-02-03 12:18:45.860509,192.168.1.4,40.126.53.17,TLS,55,"Packet (Length: 55)"
2026-02-03 12:18:45.877690,192.168.1.4,95.100.86.213,DATA,71,"Packet (Length: 71)"
2026-02-03 12:18:45.912136,192.168.1.4,173.194.140.199,TLS,55,"Packet (Length: 55)"
2026-02-03 12:18:45.974393,95.100.86.213,192.168.1.4,DATA,70,"Packet (Length: 70)"
2026-02-03 12:18:46.184226,173.194.140.199,192.168.1.4,TCP,58,"Packet (Length: 58)"
2026-02-03 12:18:46.485471,N/A,N/A,ARP,42,"Packet (Length: 42)"
2026-02-03 12:18:46.529374,192.168.1.4,150.171.30.11,TLS,55,"Packet (Length: 55)"
2026-02-03 12:18:46.614666,150.171.30.11,192.168.1.4,TCP,66,"Packet (Length: 66)"
2026-02-03 12:18:46.776705,192.168.1.4,95.100.86.213,DATA,71,"Packet (Length: 71)"
2026-02-03 12:18:46.849170,192.168.1.4,173.194.140.199,TLS,55,"Packet (Length: 55)"
2026-02-03 12:18:46.886315,95.100.86.213,192.168.1.4,DATA,70,"Packet (Length: 70)"
